name,Description
ice-cored topography,topography that is due almost solely to differences in the amount of excess ice underlying its surface.
ice-nucleation temperature,the temperature at which ice first forms during freezing of a soil/water system that does not initially contain ice.
ice-rich permafrost,permafrost containing excess ice.
ice-wedge cast,a filling of sediment in the space formerly occupied by an ice wedge.
ice-wedge polygon,a polygon outlined by ice wedges underlying its boundaries.
iceberg,a piece of ice that has broken off from the end of a glacier that terminates in water.
iceberg tongue,"a major accumulation of icebergs projecting from the coast, held in place by grounding and joined together by fast ice."
icebound,"a harbour, inlet, etc, is said to be icebound when navigation by ships is prevented due to ice, except possibly with the assistance of an icebreaker."
icefall,part of a glacier with rapid flow and a chaotic crevassed surface; occurs where the glacier bed steepenes or narrows.
icefield,"a mass of glacier ice; similar to an ice cap, and usually smaller and lacking a dome-like shape; somewhat controlled by terrain."
icefoot,"a narrow fringe of ice attached to the coast, unmoved by tides and remaining after the fast ice has broken free."
Icelandic low,"the low pressure center near Iceland (mainly between Iceland and southern Greenland); on mean charts of sea-level pressure, it is a principal center of action in the atmosphere circulation of the northern hemisphere."
iceport,"an embayment in an ice front, often of temporary nature, where ships can moor alongside and unload directly into the ice shelf."
icicle,hanging spike of clear ice formed by the freezing of dripping water.
iciness,a qualitative term describing the quantity of ice in frozen ground.
icing,"a sheetlike mass of layered ice formed on the ground surface, or on river or lake ice, by freezing of successive flows of water that may seep from the ground, flow from a spring or emerge from below river or lake ice through fractures."
icing blister,a seasonal frost mound consisting only of ice and formed at least in part through lifting of one or more layers of an icing by injected water.
icing glade,an area kept clear of trees and shrubs by the annual occurrence of icings.
icing mound,"a seasonal frost mound consisting exclusively of thinly layered ice, formed by freezing of successive flows of water issuing from the ground or from below river ice."
inactive ice wedge,an ice wedge that is no longer growing.
inactive rock glacier,"a mass of rock fragments and finer material, on a slope, that contains either an ice core or interstitial ice, and shows evidence of past, but not present, movement."
infrared radiation,"electromagnetic radiation of wavelengths between approximately 0.75 and 1000 millimeters; see also atmospheric radiation, terrestrial radiation, longwave radiation."
inland ice sheet,"an ice sheet of considerable thickness and an area of more than about 50,000 square kilometers (12.4 million acres), resting on rock; inland ice sheets near sea level may merge into ice shelves."
insolation,(1) exposure of an object to the sun (2) intensity of incoming solar radiation incident on a unit horizontal surface at a specific level.
instrument shelter,structure to protect certain instruments from insolation and weather while at the same time ensuring sufficient ventilation.
interfacial water,water that forms transition layers at mineral/water and mineral/water/ice interfaces in frozen ground.
intermediate discontinuous permafrost,(1) (North American usage) permafrost underlying 35 - 65% of the area of exposed land surface (2) (Russian usage) permafrost underlying 40 - 60% of the area of exposed land surface.
internal ice stress,"a measure of the compactness, or strength of the ice; plays an important role in the deformation of the ice and formation of features such as ridges and leads."
interstitial ice,ice formed in narrow spaces between small rocks and sediment in soil.
intrapermafrost water,water occurring in unfrozen zones (taliks and cryopegs) within permafrost.
intrusive ice,ice formed from water injected into soils or rocks.
inversion,"in meteorology, a departure from the usual (normal) decrease or increase with altitude of the value of an atmospheric property; also, the layer through which this departure occurs (the inversion layer); this term almost always refers to a temperature inversion."
isoband cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form subhorizontal layers of similar thickness."
isobar,a line of equal or constant pressure; it most often refers to a line drawn through all points of equal atmospheric pressure.
isohyet,a line drawn through geographical points recording equal amounts of precipitation during a specific period.
isolated cryopeg,"a body of unfrozen ground, that is perennially cryotic (T < 0 degrees Celsius) and entirely surrounded by perennially frozen ground."
isolated patches of permafrost,permafrost underlying less than 10% of the exposed land surface.
isolated talik,a layer or body of unfrozen ground entirely surrounded by perennially frozen ground.
isostatic rebound,"Isostatic rebound (also called continental rebound, post-glacial rebound or isostatic adjustment) is the rise of land masses that were depressed by the huge weight of ice sheets during the last ice age"
isotherm,a line of equal or constant temperature.
jet stream,"relatively strong winds concentrated within a narrow stream in the atmosphere; generally refers to a quasi-horizontal jet stream of maximum winds embedded in the midlatitude westerlies, and concentrated in the high troposphere."
jokulhlaup,(1) a large outburst flood that usually occurs when a glacially dammed lake drains catastrophically (2) any catastrophic release of water from a glacier.
katabatic wind,"any wind blowing down an incline; if the wind is warm, it is called a foehn or chinook; if cold, it may be a fall wind (bora), or a gravity wind (mountain wind); the opposite of anabatic wind."
keel,"the part of a ridge below the ocean surface; wind, ocean currents, and other forces can push sea ice into piles that rise and form small mountains below the level sea ice surface."
kinetic-growth metamorphism,snow metamorphism that builds angular facets on crystals and makes cup and scroll shaped crystals.
kurum,"a general term for all types of coarse clastic formations on slopes of 2-3 to 40 degrees, moving downslope mainly due to creep."
lake ice,floating ice formed in lakes.
lake talik,a layer or body of unfrozen ground occupying a depression in the permafrost table beneath a lake.
lamina,"thin plate, sheet or layer; laminae (plural)."
land sky,"the relatively dark appearance of the underside of a cloud layer when it is over land that is not snow covered; this term is used largely in polar regions with reference to the sky map; land sky is brighter than water sky, but is much darker than ice blink or snow blink."
landfast ice,Also known as fast ice
lapse rate,the rate of change of any meteorological element with height.
large-scale atmospheric processes,"atmospheric processes with a representative scale (large-scale) of 10,000 kilometers (6,200 miles); in meteorology, it is a scale in which the curve of the earth is not negligible; the large-scale atmospheric flows are essentially nearly hydrostatic, nearly geostrophic and wave-like in appearance; they exist mainly in response to the latitudinal differences in radiative heating, to the particular value of the coriolis force and to the spatial distribution of the oceans and continents."
latent heat of fusion,"the amount of heat required to cause a change of phase from solid to liquid, or the heat released when the phase change is from liquid to solid; in the case of melting snow, the phase change from ice to water requires a significant amount of heat160 times that required to raise the temperature of the same amount of ice by just 1 degree Celsius; until the required amount of heat is supplied to completely melt all of the ice being considered, no further increase in temperature will occur."
latent heat polynya,"a polynya that forms from strong winds in a persistent direction that push the ice away from a barrier (the coast, fast ice, a grounded iceberg, or an ice shelf)."
lateral moraine,a ridge-shaped moraine deposited at the side of a glacier and composed of material eroded from the valley walls by the moving glacier.
lateral talik,"a layer or body of unfrozen ground, overlain and underlain by perennially frozen ground."
latitudinal limit of permafrost,the southernmost (northernmost) latitude at which permafrost occurs in a lowland region in the northern (southern) hemisphere.
latitudinal zonation of permafrost,"the subdivision of a permafrost region into permafrost zones, based on the percentage of the area that is underlain by permafrost."
layered cryostructure,the cryostructure of frozen silt or loam in which ice layers alternate with mineral layers that have a massive cryostructure.
lead,"long, linear areas of open water that range from a few meters to over a kilometer in width, and tens of kilometers long; they develop as ice diverges, or pulls apart."
lead shore,a lead that forms between drift ice and the coast.
leeward/lee side,the downwind side.
lens ice,ground ice occurring as ice lenses.
lens-type cryostructure,the cryostructure of frozen silt or loam containing numerous ice lenses.
level ice,floating ice with a flat surface which has never been hummocked.
lithometer,"general term for dry atmospheric suspensoids, including dust, haze, smoke and sand."
little ice age,"a period of cooling that started around the early 14th century, peaked in the 17th century, and ended in the mid-19th century, and was marked by expanding glaciers in Europe, North America, and Asia"
long-term strength,the failure strength of a material after a long period of creep deformation.
longwave radiation,heat radiation with wavelengths greater than 4 millimeters.
low,area of low pressure in the atmosphere.
low-center polygon,an ice-wedge polygon in which thawing of ice-rich permafrost has left the central area in a relatively depressed position.
low-level clouds,"clouds in the lower region of the atmosphere, from ground level to 6500 feet (2000 meters); includes stratus, stratocumulus, the bases of cumulus and cumulonimbus, and sometimes nimbostratus clouds."
luminous pillars,white or sometimes reddish vertical streaks of light extending from above and below the sun; they are caused by light reflected off the mirror-like surfaces of ice; most commonly seen at sunrise and sunset.
macro-scale polygons,"closed, multi-sided, roughly equidimensional, patterned ground features, typically 15 to 30 meters (16 to 33 yards) across; commonly resulting from thermal contraction cracking of the ground."
magnetic pole,either of the two points on the earth's surface at which magnetic meridians converge; the horizontal component of the magnetic field of the earth becomes zero at this point; also called the dip pole.
marginal crevasse,a crevasse near the side of a glacier formed as the glacier moves past stationary valley walls; usually oriented about 45 degrees up-glacier from the side wall.
marginal ice zone,"a part of the seasonal ice zone that varies in width (100 to 200 kilometers, 62 to 124 miles) that extends from the ice edge into the ice pack, where waves and swells affect the ice; often characterized by highly variable ice conditions; in general, it is wider in the Antarctic than the Arctic."
marine climate,"a climate dominated by the ocean; because of the moderating effect of water, sites having this climate are considered relatively mild."
marine cryopeg,"a layer or body of unfrozen ground, that is perennially cryotic (T < 0 degrees Celsius), forming part of the coastal or subsea permafrost."
maritime,"of, relating to, or adjacent to the sea."
mass balance,the difference between accumulation and ablation on a glacier; usually calculated on an annual basis.
mass wasting,"downslope movement of soil or rock on, or near, the earth's surface under the influence of gravity."
massive cryostructure,the cryostructure of frozen sand in which all mineral particles are bonded together with ice.
massive ice,"a comprehensive term used to describe large masses of ground ice, including ice wedges, pingo ice, buried ice and large ice lenses."
massive-agglomerate cryostructure,the cryostructure of frozen silt or loam in which ice veins form an irregular three-dimensional network.
massive-porous cryostructure,"the cryostructure of frozen sand and gravel in which all mineral particles are bonded together with ice, but larger pore spaces are not completely filled with ice."
maximum ice extent,"the largest sea ice extent during a given year; maximum ice extent marks the end of the growth period for sea ice, and the start of the melt season"
mean annual ground temperature (MAGT),mean annual temperature of the ground at a particular depth.
mean annual ground-surface temperature (MAGST),mean annual temperature of the surface of the ground.
mechanical properties of frozen ground,the properties of frozen ground governing its deformability and strength.
mechanical strength,the failure strength of a material under given loading conditions.
medial moraine,"a ridge-shaped moraine in the middle of a glacier originating from a rock outcrop, nunatak, or the converging lateral moraines of two or more ice streams."
megadunes,"unlike snow dunes that are piles of drifted snow, antarctic megadunes are long, undulating waves in the surface of the ice sheet that are 2 to 4 meters (6.5 to 13 feet) high and 2 to 5 kilometers (1 to 3 miles) apart; they are slightly rounded at their crests and are so subtle that a person on the ground cannot see the pattern."
melt ponds,pools of melted snow and ice on the sea ice surface created during the summer melt.
meltwater conduit,"a channel within, underneath, on top of, or near the side of a glacier that drains meltwater out of the glacier; usually kept open by the frictional heating of flowing water that melts the ice walls of the conduit."
mercury barometer,a mercury-filled glass tube in which the height of the mercury column is a measure of air pressure.
meridional circulation,an atmospheric circulation in a vertical plane oriented along a meridian; it consists of the vertical and the meridional (north or south) components of motion only.
mesopause,"top of the mesosphere, situated at about 80-85 kilometers (50-53 miles)."
mesosphere,"the region of the atmosphere between about 50 kilometers (31 miles) and 80-85 kilometers (50-53 miles), extending from the top of the stratosphere to the upper temperature minimum; it is characterized by a broad temperature maximum (near 0 degrees Celsius) at its base, from which the temperature decreases to a minimum (about -90 degrees Celsius) at the mesopause level."
metamorphism,"changes in the structure and texture of snow grains which result from variations in temperature, migration of liquid water and water vapor, and pressure within the snow cover."
meteorological element,"any one of the properties or conditions of the atmosphere which together specify the weather at a given place for any particular time (for example, air temperature, pressure, wind, humidity, thunderstorm and fog)."
meteorology,"study of the atmosphere and its phenomena, including its structure, properties, and physical processes."
micro-scale polygon,"closed, multi-sided, roughly equidimensional, patterned ground features, less than 2 meters (6.6 feet) in diameter; usually caused by desiccation cracking of fine-grained soil materials."
microwave sensors,"in terms of wavelength, microwaves range from 1 millimeter to 1 meter, and are much longer than the shorter visible (0.38-0.78 micrometer) wavelengths; these longer wavelengths allow microwave energy to penetrate through clouds; because these sensors measure microwave energy, they do not rely on sunlight for illumination so they can acquire images regardless of time of day; can be either passive or active; passive sensors detect and record naturally upwelling microwave energy emitted from objects; active sensors generate their own beam of energy, generally with an antenna, which then detects the returned energy patterns (backscatter) that indicate the presence of features and their position relative to the sensor; radar (radio detection and ranging) was an original active microwave sensor that became widely operational with the onset of World War II."
middle-level clouds,"clouds composed of ice crystals and water droplets in the middle region of the atmosphere, from 2,000 - 6,000 meters (6,500 to 23,000 feet); includes altocumulus, altostratus, nimbostratus, and portions of cumulus and cumulonimbus clouds."
minerogenic palsa,a palsa in which the frozen core extends below the peat into underlying mineral material.
mires,"Also known as tundra mires, generally described as an area of wet, soggy, muddy ground., and often feature a layer of peat over permafrost."
mixed precipitation,precipitation consisting of a mixture of rain and wet snow; it usually occurs when the temperature of the air layer near the ground is slightly above freezing; the British term for this mixture is sleet (which has a different meaning in the United States).
moraine,"a mound, ridge, or other distinct accumulation of glacial till."
moraine shoal,glacial moraine that has formed a shallow place in water.
moulin,a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a pothole.
mountain glacier,a glacier that is confined by surrounding mountain terrain; also called an alpine glacier.
mountain permafrost,"permafrost existing at high altitudes in high, middle, and low latitudes."
mountain wind,a cold wind blowing down an incline; a kind of katabatic wind.
mud circle,a type of nonsorted circle developed in fine-grained materials.
multiple retrogressive slide,"a type of mass movement associated with shear failure in unfrozen sediments underlying permafrost, leading to detachment of blocks of frozen ground that move downslope."
multiyear ice,ice that has survived at least one melt season; it is typically 2 to 4 meters (6.6 to 13.1 feet) thick and thickens as more ice grows on its underside.
n-factor,the ratio of the surface freezing or thawing index to the air freezing or thawing index.
needle ice,"thin, elongated ice crystals that form perpendicular to the ground surface."
negative mill,a geyser; a fountain that develops when water from a conduit is forced up to the surface of a glacier.
net budget,the difference between accumulation and ablation; usually expressed in terms of volumes of water equivalent per unit area.
net terrestrial radiation,difference between the downward and upward terrestrial radiation fluxes; net flux of terrestrial radiation.
névé,"(1) young, granular snow that has been partially melted, refrozen and compacted; névé that survives a full season is called firn; firn becomes glacial ice; (2) also refers to the accumulation zone of a glacier."
new ice,"a general category of ice that consists of frazil, grease ice, slush, and shuga."
new snow,a recent snow deposit in which the original form of the ice crystals can be recognized.
niche glacier,very small glacier that occupies gullies and hollows on north-facing slopes (northern hemisphere); may develop into cirque glacier if conditions are favorable.
nilas,"a thin sheet of smooth, level ice less than 10 centimeters (4 inches) thick; appear darkest when thin."
nimbostratus,"a principal cloud type (cloud genus); gray and often dark; rendered diffuse by more or less continuously falling rain, snow, sleet, etc. of the ordinary varieties and not accompanied by lightning, thunder, or hail; precipitation in most cases reaches the ground; may or may not merge with low, ragged clouds that frequently occur below."
nip,"ice is said to nip when it forcibly presses against a ship which is beset; a vessel so caught, though undamaged, is said to have been nipped."
noncryotic ground,soil or rock at temperatures above 0 degrees Celsius.
nonsorted circle,"a patterned ground form that is equidimensional in several directions, with a dominantly circular outline which lacks a border of stones."
nonsorted net,"a patterned ground with cells that are equidimensional in several directions, neither dominantly circular nor polygonal, and lacking borders of stones."
nonsorted polygon,"a patterned ground form that is equidimensional in several directions, with a dominantly polygonal outline which lacks a border of stones."
nonsorted step,a patterned ground feature with a step-like form and a downslope border of vegetation embanking an area of relatively bare ground upslope.
nonsorted stripe,"form patterned ground with a striped and nonsorted appearance, due to parallel strips of vegetation-covered ground and intervening strips of relatively bare ground, oriented down the steepest available slope."
North American high,"the relatively weak general area of high pressure which, as shown on mean charts of sea-level pressure, covers most of North America during winter; this pressure system is not nearly as well-defined as the analogous Siberian high."
North Atlantic Oscillation,"an oscillation in the strength of the Icelandic Low and Azores High, the two dominant surface pressure features in the North Atlantic. When both are unusually strong, the North Atlantic Oscillation (NAO) is in its positive phase; when both are unusually weak, it is in its negative phase. The NAO has climate impacts not just in the Arctic, but in North America and Europe. The NAO, identified by Sir Gilbert Walker in the 1920s, is similar to the Arctic Oscillation."
north pole,"90° N latitude; one of the two points where the Earth's axis of rotation meets the Earth's surface (the other being the south pole, diametrically opposite)."
nunatak,a rocky crag or small mountain projecting from and surrounded by a glacier or ice sheet.
observation,a weather or meteorological observation is an evaluation of one or more meteorological elements that describes the state of the atmosphere either at the earth's surface or aloft.
observational network,"a group of stations (surface meteorological, upper-air, or other) spread over a given area for making regular observations."
ogives,alternate bands of light and dark ice seen on a glacier surface.
old ice,"sea ice more than 2-years-old, up to 3 meters (10 feet) or more thick; hummocks on old ice are even smoother than in second-year ice, and the ice is almost salt-free; when old ice is bare of snow, it is blue and lacks the greenish tint of second-year ice."
old snow,deposited snow whose transformation into firn is so far advanced that the original form of the ice crystals can no longer be recognized.
onshore permafrost,permafrost occurring beneath exposed land surfaces.
open lead,"a lead that connects two open bodies of water; ships can traverse between them through this lead; it also refers to a lead where open water is found, or a lead that has not completely frozen."
open pack ice,composed of floes seldom in contact and with many leads; ice cover 4/10ths to 6/10ths.
open talik,"a body of unfrozen ground that penetrates the permafrost completely, connecting suprapermafrost and subpermafrost water."
open water,"a large area of freely navigable water in which floes may be present in concentration under 1/10th; if there is no sea ice present, the area may be termed open water, even though icebergs are present."
open-cavity ice,ice formed in an open cavity or crack in the ground by reverse sublimation of water vapour.
open-system freezing,freezing that occurs under conditions that allow gain or loss of water by the system.
open-system pingo,"a pingo formed by doming of frozen ground; caused by groundwater that moves downslope through taliks and onto the pingo surface, where it freezes."
orbiculic cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which coarser soil particles form circular to ellipsoidal patterns."
organic cryosol,"an organic soil having a surface layer containing more than 17% organic carbon by weight, with permafrost within 1 meter (3.3 feet) below the surface."
oriented lake,"one of a group of lakes possessing a common, preferred, long-axis orientation."
outburst flood,any catastrophic flooding from a glacier; may originate from trapped water in cavities inside a glacier or at the margins of glaciers or from lakes that are dammed by flowing glaciers.
outlet glacier,a valley glacier which drains an inland ice sheet or ice cap and flows through a gap in peripheral mountains.
ozone,"a nearly colorless (but faintly blue) gaseous form of oxygen, with a characteristic odor like chlorine; has a formula of O3 and a molecular weight of 48; found in trace quantities in the earth's atmosphere at all times, primarily in the stratosphere between heights of about 10 to 50 kilometers (6 to 31 miles; the ozonosphere or ozone shield) where its production results from photochemical processes involving ultraviolet radiation; its maximum concentration occurs between 20 to 25 kilometers (12 to 16 miles); in the lower atmosphere, ozone is commonly formed as a product of electrical discharges through the air."
ozone shield,"stratospheric ozone layer, giving protection to the earth's surface due to intense absorption of harmful solar ultraviolet radiation by the gas."
ozonosphere,"stratospheric ozone layer, giving protection to the earth's surface due to intense absorption of harmful solar ultraviolet radiation by the gas."
pack ice,"ice that is not attached to the shoreline and drifts in response to winds, currents, and other forces; some prefer the generic term drift ice, and reserve pack ice to mean drift ice that is closely packed."
palsa,a peaty permafrost mound possessing a core of alternating layers of segregated ice and peat or mineral soil material.
palsa bog,"a poorly-drained lowland underlain by organic-rich sediments, which contains perennially frozen peat bodies (peat plateaux) and, occasionally, palsas."
pancake ice,"pieces of new ice approximately circular, up to 10 centimeters (4 inches) thick and 0.03 to 3 meters (0.1 to 9.8 feet) in diameter, with raised edges that form from rubbing against each other; formed from the freezing together of grease ice, slush or shuga, or the reaking up of ice rind or nilas."
parameter,(1) a term used loosely by many meteorologists for almost any meteorological quantity or element (2) an arbitrary constant or variable appearing in a mathematical expression; changing it can give various outcomes for the phenomena represented.
partial pressure,"in a mixture of gases, each gas has a partial pressure, which is the pressure the gas would have if it occupied that volume alone."
partially-bonded permafrost,ice-bearing permafrost in which some of the soil particles are not held together by ice.
passive construction methods in permafrost,special design and construction methods used for engineering works in permafrost areas where preservation of the frozen condition is feasible.
passive single-phase thermal pile,a foundation pile provided with a single-phase natural convection cooling system to remove heat from the ground.
passive two-phase thermal pile,a foundation pile provided with a two-phase natural convection cooling system to remove heat from the ground.
past weather,"predominant characteristic of the weather which had existed at an observing station during a given period of time (during the preceding hour or six hours), specified in the international synop code."
patch,"a collection of pack ice, less than 10 kilometers (6.2 miles) across, whose limits can be seen from the masthead."
patterned ground,"a general term for any ground surface exhibiting a discernibly ordered, more or less symmetrical, morphological pattern of ground and, where present, vegetation."
peat,a deposit consisting of decayed or partially decayed humified plant remains.
peat hummock,a hummock consisting of peat.
peat plateau,"a generally flat-topped expanse of peat, elevated above the general surface of a peatland, and containing segregated ice that may or may not extend downward into the underlying mineral soil."
peatland,peat-covered terrain.
penitents,the extreme relief of ablation hollows found most often at high altitudes in the tropics; the resulting spikes of snow resemble repentant souls.
pereletok,"a layer of frozen ground which forms as part of the seasonally frozen ground (in areas free of permafrost or with a lowered permafrost table); remains frozen throughout one or several summers, and then thaws."
perennial snow,snow that persists on the ground year after year.
periglacial,"the conditions, processes and landforms associated with cold, nonglacial environments."
periglacial phenomena,landforms and soil characteristics produced by periglacial processes.
periglacial processes,"processes associated with frost action in cold, nonglacial environments."
permacrete,"an artificial mixture of frozen soil materials cemented by pore ice, which forms a concrete-like construction material used in cold regions."
permafrost,"layer of soil or rock, at some depth beneath the surface, in which the temperature has been continuously below 0°C for at least several years; it exists where summer heating fails to reach the base of the layer of frozen ground."
permafrost aggradation,a naturally or artificially caused increase in the thickness and/or areal extent of permafrost.
permafrost base,"the lower boundary surface of permafrost, above which temperatures are perennially below 0 degrees Celsius (cryotic) and below which temperatures are perennially above 0 degrees Celsius (noncryotic)."
permafrost boundary,(1) the geographical boundary between the continuous and discontinuous permafrost zones (2) the margin of a discrete body of permafrost.
permafrost degradation,a naturally or artificially caused decrease in the thickness and/or areal extent of permafrost.
permafrost extent,the total geographic area containing some amount of permafrost; typically reported in square kilometers.
permafrost limit,outermost (latitudinal) or lowest (altitudinal) limit of the occurrence of permafrost.
permafrost region,a region in which the temperature of some or all of the ground below the seasonally freezing and thawing layer remains continuously at or below 0 degrees Celsius for at least two consecutive years.
permafrost table,the upper boundary surface of permafrost.
permafrost thickness,the vertical distance between the permafrost table and the permafrost base.
permafrost zone,a major subdivision of a permafrost region.
permanent ice zone,"a region that is covered with sea ice year-round; most of the sea ice in the permanent ice zone is multiyear ice, but younger ice and open water may still be present; the permanent ice zone is what remains in summer after all melting has occurred (often called the summer minimum extent)."
pH,"power of hydrogen; a measure of the activity of hydrogen ions in solution, and therefore, its acidity or alkalinity."
piedmont glacier,"large ice lobe spread out over surrounding terrain, associated with the terminus of a large mountain valley glacier."
pingo,"an Inuvialuktun term for a perennial frost mound consisting of a core of massive ice with soil and vegetation cover; the size can range from a few meters to tens of meters, in both diameter and height; can be found in continuous and discontinuous permafrost zones."
pingo ice,massive ice forming the core of a pingo.
pingo remnant,a collapsed pingo.
pingo scar,a pingo remnant in a contemporary non-permafrost environment.
planetary permafrost,"permafrost occurring on other planetary bodies (planets, moons, asteroids)."
plastic frozen ground,fine-grained soil in which only a portion of the pore water has turned into ice.
Pleistocene,"part of the geologic timescale, corresponding to the time period from 1.81 million to 11,550 years before the present."
Poisson's ratio,"the absolute value of the ratio between linear strain changes, perpendicular to and in the direction of a given uniaxial stress change."
polar day,"in polar regions, the portion of the year when the sun is continuously in the sky; its length changes from twenty hours at the arctic/antarctic circle (latitude 66 degrees, 34 minutes N or S) to 186 days at the north and south poles."
polar explorer,a person working for a long time at one of the polar observing stations; Russian word is polyarnik.
polar glacier,"a glacier entirely below freezing, except possibly for a thin layer of melt near the surface during summer or near the bed; polar glaciers are found only in polar regions of the globe or at high altitudes."
polar ice cap,"a high-latitude region covered in ice; not a true ice cap, which are less than 50,000 square kilometers (12.4 million acres) and are always over land; more like an ice sheet; also called polar ice sheet."
polar low,"small, shallow depression which forms mainly in winter over some high-latitude seas within a polar or arctic air mass; its motion is approximately the same as the air stream in which it is embedded."
polar night,"in polar regions, the portion of the year when the sun does not rise above the horizon; its length changes from twenty hours at the arctic/antarctic circle (latitude 66 degrees, 34 minutes N or S) to 179 days at the North and South Poles."
polar region,"regions around the North and South Poles, north of the Arctic, or south of the Antarctic Circles, respectively; characterized by polar climate, very cold temperatures, heavy glaciation, and dramatic variations in daylight hours (24 hrs darkness in winter, 24 hrs daylight in summer)."
polar vortex,large-scale cyclonic circulation in the middle and upper troposphere centered generally in the polar regions; it is often called circumpolar vortex.
pole of inaccessibility,"in the northern hemisphere, the point in the Arctic Ocean farthest from land; in the southern hemisphere, the point on the Antarctic continent farthest from the Southern Ocean."
polyarnik,Russian word for a person working for a long time at one of the polar observing stations.
polycrystal,a snowflake composed of many individual ice crystals.
polygon,"literally means many angled; polygons are closed, multi-sided, roughly equidimensional shapes, bounded by more or less straight sides; some of the sides may be irregular; in cryospheric science, it refers to patterned ground formations."
polygon trough,the narrow depression surrounding a high-centre polygon.
polygonal pattern,"a pattern consisting of numerous multi-sided, roughly equidimensional figures bounded by more or less straight sides."
polygonal peat plateau,a peat plateau with ice-wedge polygons.
polynya,"irregularly shaped areas of persistent open water that are sustained by winds or ocean heat; they often occur near coasts, fast ice, or ice shelves."
poorly-bonded permafrost,ice-bearing permafrost in which few of the soil particles are held together by ice.
pore ice,ice occurring in the pores of soils and rocks.
pore water,water occurring in the pores of soils and rocks.
post-glacial rebound,"Post-glacial rebound (sometimes called continental rebound, isostatic rebound or isostatic adjustment) is the rise of land masses that were depressed by the huge weight of ice sheets during the last ice age."
pothole,a nearly vertical channel in ice that is formed by flowing water; usually found after a relatively flat section of glacier in a region of transverse crevasses; also called a moulin.
powder snow,"a thin, dry snow surface which is composed of loose, fresh ice crystals."
prairie,a treeless grassy plain.
precipitation,"(1) any of the forms of water particles, whether liquid or solid, that fall from the atmosphere and reach the ground; includes: rain, drizzle, snow, snow grains, snow pellets, diamond dust, hail, and ice pellets; see also acid precipitation (2) accumulated depth of rain, drizzle and the melted water content of frozen forms of precipitation."
precision,the degree of agreement between independent measurements of a single quantity obtained by applying a specific measurement procedure several times under prescribed conditions.
present weather,weather at a station at the time of observation.
pressure,"a type of stress characterized by uniformity in all directions; in dynamics, it is that part of the stress tensor that is independent of viscosity and depends only upon the molecular motion appropriate to the local temperature and density; it is the negative of the mean of the three normal stresses, and is, therefore, a scalar quantity expressed in units of force per unit area; in meteorology, commonly used for atmospheric pressure."
pressure ice,"a general term for floating ice which has been squeezed together and in places forced upwards; includes rafted ice, telescoped ice, hummocked ice and ridge ice."
pressure melting,melting that occurs in ice at temperatures colder than normal melting temperature because of added pressure.
pressure ridge,"process that occurs when wind, ocean currents, and other forces push sea ice around into piles that rise and form small mountains above the level sea ice surface; ridges are initially thin and transparent with very sharp edges from blocks of ice piling up; also see keels."
pressure tendency,the character and amount of atmospheric pressure change for a three-hour or other specified period ending at the time of observation.
pressure-melting,lowering the melting point of ice by applying pressure.
prime meridian,the meridian (line of longitude) defined to be 0 degrees and passing through the Royal Greenwich Observatory in London; also known as the International Meridian or Greenwich Meridian; the Prime Meridian and the opposite 180th meridian (at 180 degrees longitude) separate the Eastern and Western Hemispheres.
pseudomorph,"in geology, a mineral compound resulting from a process by which the primary mineral component is replaced by another, although the compound maintains constant appearance and dimensions."
psychrometer,"an instrument used for measuring the water vapor content of the atmosphere; a type of hygrometer; it consists of two thermometers, one of which (the dry bulb) is an ordinary glass thermometer, while the other (wet bulb) has its bulb covered with a jacket of clean muslin which is saturated with distilled water prior to an observation; when the bulbs are suitably ventilated, they indicate the thermodynamic wet- and dry-bulb temperatures of the atmosphere; one variety is the assman psychrometer (a special form of aspiration psychrometer for which the ventilation is provided by a suction fan)."
psychrometric tables,"tables prepared from psychrometric data and used to obtain vapor pressure, relative humidity, and dew point from wet- and dry-bulb temperatures."
puddle,"an accumulation of melt water on an ice surface, mainly due to melting snow, but in later stages also to the melting of ice; the initial stage consists of patches of slush."
push moraine,moraine built out ahead of an advancing glacier.
radar,RAdio Detection And Ranging was an original active microwave sensor that became widely operational with the onset of World War II.
radiation,(1) emission or transfer of energy in the form of electromagnetic waves (2) the process by which electromagnetic radiation is propagated through free space by virtue of joint undulatory variations in the electric and magnetic fields in space; this concept is to be distinguished from conduction and convection.
radiative forcing,"a measure of the additional absorption of solar radiation from light absorbing particles (LAP) such as dust or soot. Units of measure are Watts per square meter (W/m2) and values can range from 0 to 500 W/m2. The maximum value depends on incoming solar radiation (elevation, direct sun vs shaded) and the amount of dust or soot. A value of 0 means no additional radiation is being absorbed. A value of 500 means nearly all of the solar energy is absorbed (depends on latitude, elevation, clouds). Radiative forcing is calculated by the difference between the net (downward minus upward) radiative fluxes (irradiance) with and without LAP."
radiosonde,"instrument intended to be carried by a balloon up through the atmosphere, equipped with sensors to measure one or several meteorological variables (pressure, temperature, humidity, etc.), and provided with a radio transmitter for sending this information to the observing station."
radius-dependent metamorphism,snow metamorphism that occurs when there are large differences in convex and concave portions of a crystal.
